date,hours,detections
2023-01-02,0.0,0.0
2023-01-03,0.0,0.0
2023-01-04,0.0,0.0
2023-01-05,0.0,0.0
2023-01-06,0.0,0.0
2023-01-07,0.0,0.0
2023-01-08,0.0,0.0
2023-01-09,0.0,0.0
2023-01-10,0.0,0.0
2023-01-11,0.0,0.0
2023-01-12,0.0,0.0
2023-01-13,0.0,0.0
2023-01-14,0.0,0.0
2023-01-15,0.0,0.0
2023-01-16,0.0,0.0
2023-01-17,0.0,0.0
2023-01-18,0.0,0.0
2023-01-19,0.0,0.0
2023-01-20,0.0,0.0
2023-01-21,0.0,0.0
2023-01-22,0.0,0.0
2023-01-23,0.0,0.0
2023-01-24,0.0,0.0
2023-01-25,0.0,0.0
2023-01-26,0.0,0.0
2023-01-27,0.0,0.0
2023-01-28,0.0,0.0
2023-01-29,0.0,0.0
2023-01-30,0.0,0.0
2023-01-31,0.0,0.0
2023-02-01,0.0,0.0
2023-02-02,0.0,0.0
2023-02-03,0.0,0.0
2023-02-04,0.0,0.0
2023-02-05,0.0,0.0
2023-02-06,0.0,0.0
2023-02-07,0.0,0.0
2023-02-08,0.0,0.0
2023-02-09,0.0,0.0
2023-02-10,0.0,0.0
2023-02-11,0.0,0.0
2023-02-12,0.0,0.0
2023-02-13,0.0,0.0
2023-02-14,0.0,0.0
2023-02-15,0.0,0.0
2023-02-16,0.0,0.0
2023-02-17,0.0,0.0
2023-02-18,0.0,0.0
2023-02-19,0.0,0.0
2023-02-20,0.0,0.0
2023-02-21,0.0,0.0
2023-02-22,0.0,0.0
2023-02-23,0.0,0.0
2023-02-24,0.0,0.0
2023-02-25,0.0,0.0
2023-02-26,0.0,0.0
2023-02-27,0.0,0.0
2023-02-28,0.0,0.0
2023-03-01,0.0,0.0
2023-03-02,0.0,0.0
2023-03-03,0.0,0.0
2023-03-04,0.0,0.0
2023-03-05,0.0,0.0
2023-03-06,0.0,0.0
2023-03-07,0.0,0.0
2023-03-08,0.0,0.0
2023-03-09,0.0,0.0
2023-03-10,0.0,0.0
2023-03-11,0.0,0.0
2023-03-12,0.0,0.0
2023-03-13,0.0,0.0
2023-03-14,0.0,0.0
2023-03-15,0.0,0.0
2023-03-16,0.0,0.0
2023-03-17,0.0,0.0
2023-03-18,0.0,0.0
2023-03-19,0.0,0.0
2023-03-20,0.0,0.0
2023-03-21,0.0,0.0
2023-03-22,0.0,0.0
2023-03-23,0.0,0.0
2023-03-24,0.0,0.0
2023-03-25,0.0,0.0
2023-03-26,0.0,0.0
2023-03-27,0.004417479674796748,0.0
2023-03-28,0.10206456639566396,0.0
2023-03-29,0.09549285230352303,0.0
2023-03-30,0.18469102303523036,0.0
2023-03-31,0.167492445799458,7.0
2023-04-01,0.424540243902439,21.0
2023-04-02,1.026189566395664,17.0
2023-04-03,0.28797147696476966,12.0
2023-04-04,0.11997577913279134,8.0
2023-04-05,0.461747256097561,21.0
2023-04-06,0.4133114498644987,16.0
2023-04-07,0.64192527100271,34.0
2023-04-08,1.1809451897018972,32.0
2023-04-09,0.7214651422764228,42.0
2023-04-10,0.5931203252032521,28.0
2023-04-11,0.22712896341463418,12.0
2023-04-12,3.8684988482384823,74.0
2023-04-13,7.280893970189702,278.0
2023-04-14,10.48852198509485,400.0
2023-04-15,31.44440413279133,1205.0
2023-04-16,61.94659634146341,2490.0
2023-04-17,44.462997289972904,1764.0
2023-04-18,45.25324620596206,1954.0
2023-04-19,79.72705741869919,3042.0
2023-04-20,111.68170403116531,4273.0
2023-04-21,153.02216788617886,5808.0
2023-04-22,222.34853021680215,8270.0
2023-04-23,245.43167025745257,9540.0
2023-04-24,178.01192523712734,6551.0
2023-04-25,194.19220057588075,6987.0
2023-04-26,209.02513126693765,7747.0
2023-04-27,150.60994512195123,5370.0
2023-04-28,159.21548275745258,5504.0
2023-04-29,180.55674532520325,6567.0
2023-04-30,172.40770111788618,5843.0
2023-05-01,236.23174762872625,9116.0
2023-05-02,78.48052127371274,2563.0
2023-05-03,127.65411385501355,4024.0
2023-05-04,94.42805128726287,3042.0
2023-05-05,144.0374278794038,4750.0
2023-05-06,291.071925,10255.0
2023-05-07,399.72416602303525,16555.0
2023-05-08,294.5154133807588,11637.0
2023-05-09,317.55281649729,12580.0
2023-05-10,456.745310501355,19213.0
2023-05-11,725.245773001355,34195.0
2023-05-12,877.204927710027,40900.0
2023-05-13,1214.201920731707,57015.0
2023-05-14,1189.5459784891598,53932.0
2023-05-15,777.1210963414634,33405.0
2023-05-16,446.4693214430894,17543.0
2023-05-17,324.5326782859079,11735.0
2023-05-18,540.6761427506775,21394.0
2023-05-19,976.4057003726288,43484.0
2023-05-20,1150.8251278455284,52529.0
2023-05-21,1211.8565940379403,56610.0
2023-05-22,698.5083928523035,30789.0
2023-05-23,647.423910704607,27505.0
2023-05-24,643.1005572831979,27241.0
2023-05-25,412.1900843834689,15778.0
2023-05-26,394.9079091463415,15049.0
2023-05-27,646.3216495934959,27970.0
2023-05-28,393.2751569105691,14947.0
2023-05-29,423.4470216463415,17131.0
2023-05-30,501.79476355013554,20686.0
2023-05-31,381.70225965447156,14816.0
2023-06-01,252.45801050135503,9467.0
2023-06-02,297.4974152439024,11269.0
2023-06-03,580.3565037262872,24631.0
2023-06-04,670.1703178184282,28014.0
2023-06-05,402.8369621612466,14619.0
2023-06-06,534.8978107723577,22030.0
2023-06-07,522.2216981707318,20721.0
2023-06-08,375.37099447831974,14180.0
2023-06-09,492.7276027777778,18099.0
2023-06-10,743.9279550474254,30693.0
2023-06-11,705.159047086721,27972.0
2023-06-12,455.47275572493226,16676.0
2023-06-13,453.85935650406503,16388.0
2023-06-14,492.96226873306233,18867.0
2023-06-15,471.3659815040651,17013.0
2023-06-16,524.2207868224932,18433.0
2023-06-17,637.1226037601626,22348.0
2023-06-18,602.7323192411924,20663.0
2023-06-19,469.80913848238487,16053.0
2023-06-20,439.7856592140921,15542.0
2023-06-21,425.5392177506775,14253.0
2023-06-22,429.5685759485095,13927.0
2023-06-23,557.7569486111112,17601.0
2023-06-24,665.8755514227643,21981.0
2023-06-25,655.5418872289973,22249.0
2023-06-26,485.5664421070461,18382.0
2023-06-27,449.5817238482385,19372.0
2023-06-28,422.1136750338753,18676.0
2023-06-29,428.5721324864498,18431.0
2023-06-30,207.0845568089431,9638.0
2023-07-01,297.25857757452576,11922.0
2023-07-02,314.1815841802168,12902.0
2023-07-03,150.40668658536583,5101.0
2023-07-04,138.15384681571814,4685.0
2023-07-05,194.48315196476963,7221.0
2023-07-06,326.6463352642276,13271.0
2023-07-07,338.786826897019,13605.0
2023-07-08,311.0129783197832,12280.0
2023-07-09,354.55109078590783,13437.0
2023-07-10,331.10716602303523,13309.0
2023-07-11,323.618849796748,12554.0
2023-07-12,307.78946016260164,11609.0
2023-07-13,264.8362004065041,9314.0
2023-07-14,256.8773221205962,8965.0
2023-07-15,304.06386087398374,10440.0
2023-07-16,242.49288211382114,7801.0
2023-07-17,177.83510389566396,4562.0
2023-07-18,188.04003214769648,5187.0
2023-07-19,225.9939249322493,6701.0
2023-07-20,220.93266192411926,6442.0
2023-07-21,179.73775907859076,5228.0
2023-07-22,181.31316473577238,4853.0
2023-07-23,205.5654074525745,5887.0
2023-07-24,155.84993397696476,3923.0
2023-07-25,204.85516602303525,5761.0
2023-07-26,198.81776710704608,5912.0
2023-07-27,194.65915406504064,5729.0
2023-07-28,113.31500010162601,2990.0
2023-07-29,74.37429061653117,1408.0
2023-07-30,200.20066795392955,4723.0
2023-07-31,170.73661995257453,4397.0
2023-08-01,119.3853601287263,2717.0
2023-08-02,88.54652076558266,1712.0
2023-08-03,111.35476236449865,2619.0
2023-08-04,97.5760322493225,2087.0
2023-08-05,150.90257554200542,3207.0
2023-08-06,186.51804830623306,4794.0
2023-08-07,82.22577923441735,1299.0
2023-08-08,48.64376033197832,663.0
